20
LH001|Basic English|2|1000000|2024 05 10|2024 07 10|2024 07 08
LH002|Python Programming|3|1500000|2024 06 01|2024 08 10|2024 08 09
LH003|Digital Marketing|1|2000000|2024 05 15|2024 07 30|2024 07 28
LH004|Basic Accounting|3|1200000|2024 05 20|2024 08 05|2024 08 03
LH005|Basic Photoshop|2|800000|2024 06 05|2024 08 07|2024 08 06
LH006|Basic Japanese|1|1500000|2024 06 10|2024 08 15|2024 08 14
LH007|Interview Skills|3|1000000|2024 05 25|2024 08 01|2024 07 30
LH008|Graphic Design|2|1800000|2024 05 15|2024 07 25|2024 07 23
LH009|Project Management|1|2200000|2024 06 01|2024 08 10|2024 08 08
LH010|Self-learning Guitar|3|1000000|2024 05 20|2024 08 01|2024 07 31
LH011|Online Marketing|2|1500000|2024 05 30|2024 08 07|2024 08 05
LH012|Basic Chinese|1|1200000|2024 06 10|2024 08 15|2024 08 13
LH013|Tour Guiding|3|1800000|2024 05 15|2024 07 25|2024 07 23
LH014|CV Writing Skills|1|1000000|2024 05 25|2024 08 01|2024 07 30
LH015|Piano Basics|2|1500000|2024 06 05|2024 08 07|2024 08 05
LH016|Basic French|3|1200000|2024 06 01|2024 08 10|2024 08 09
LH017|Beauty Tips|1|1000000|2024 05 20|2024 08 01|2024 07 31
LH018|Presentation Skills|2|1800000|2024 05 30|2024 08 07|2024 08 06
LH019|Java Programming|3|1500000|2024 06 10|2024 08 15|2024 08 14
LH020|Baking Basics|1|1200000|2024 05 15|2024 07 25|2024 07 24
